frame,time,predicted_class,prob_selected_class ,prob_all_classes,prob_0,prob_1,prob_2,prob_3,prob_4,d_x,d_y,d_z
50,1.646,4,0.98,[0.01 0.   0.   0.01 0.98],0.01,0,0,0.01,0.98,0.469466031,0.517844141,-0.575477362
51,1.679,4,0.94,[0.04 0.   0.01 0.01 0.94],0.04,0,0.01,0.01,0.94,0.469463885,0.517802596,-0.506142795
52,1.712,0,0.96,[0.96 0.   0.02 0.   0.02],0.96,0,0.02,0,0.02,0.469400972,0.517797112,-0.534698248
53,1.745,0,1,[1. 0. 0. 0. 0.],1,0,0,0,0,0.469495922,0.517193496,-0.507574856
54,1.778,0,0.89,[0.89 0.11 0.   0.   0.  ],0.89,0.11,0,0,0,0.469499737,0.516470432,-0.397633165
55,1.811,0,0.85,[0.85 0.14 0.   0.01 0.  ],0.85,0.14,0,0.01,0,0.46947512,0.515323281,-0.376368701
56,1.844,0,0.88,[0.88 0.12 0.   0.   0.  ],0.88,0.12,0,0,0,0.469141543,0.515226066,-0.383306563
57,1.877,0,0.87,[0.87 0.13 0.   0.   0.  ],0.87,0.13,0,0,0,0.469015688,0.515226066,-0.39151901
58,1.91,0,0.88,[0.88 0.11 0.01 0.   0.  ],0.88,0.11,0.01,0,0,0.468952566,0.515682817,-0.414140999
59,1.943,0,0.88,[0.88 0.11 0.01 0.   0.  ],0.88,0.11,0.01,0,0,0.468840927,0.51614821,-0.431697905
60,1.976,0,0.89,[0.89 0.1  0.01 0.   0.  ],0.89,0.1,0.01,0,0,0.468867004,0.516303062,-0.439076662
61,2.009,0,0.86,[0.86 0.13 0.01 0.   0.  ],0.86,0.13,0.01,0,0,0.468839884,0.516508818,-0.429478794
62,2.042,0,0.87,[0.87 0.12 0.01 0.   0.  ],0.87,0.12,0.01,0,0,0.468873799,0.516520262,-0.422019541
63,2.074,0,0.86,[0.86 0.13 0.01 0.   0.  ],0.86,0.13,0.01,0,0,0.468942076,0.516536117,-0.426602602
64,2.107,0,0.89,[0.89 0.1  0.01 0.   0.  ],0.89,0.1,0.01,0,0,0.469005674,0.516642928,-0.416680336
65,2.14,0,0.86,[0.86 0.13 0.01 0.   0.  ],0.86,0.13,0.01,0,0,0.469475657,0.516664445,-0.421168983
66,2.173,0,0.89,[0.89 0.11 0.   0.   0.  ],0.89,0.11,0,0,0,0.470008433,0.516529977,-0.393327743
67,2.206,0,0.88,[0.88 0.1  0.   0.02 0.  ],0.88,0.1,0,0.02,0,0.470415652,0.516314209,-0.396214128
68,2.239,0,0.89,[0.89 0.11 0.   0.   0.  ],0.89,0.11,0,0,0,0.470516145,0.516320705,-0.405658782
69,2.272,0,0.88,[0.88 0.12 0.   0.   0.  ],0.88,0.12,0,0,0,0.470506012,0.516846716,-0.426090568
70,2.305,4,0.74,[0.1  0.06 0.08 0.02 0.74],0.1,0.06,0.08,0.02,0.74,0.470299184,0.516802669,-0.572769463
71,2.338,4,0.75,[0.09 0.06 0.08 0.02 0.75],0.09,0.06,0.08,0.02,0.75,0.469960123,0.516753614,-0.62883383
72,2.371,4,0.77,[0.09 0.03 0.09 0.02 0.77],0.09,0.03,0.09,0.02,0.77,0.469684035,0.516350687,-0.736759543
73,2.404,4,0.98,[0.   0.   0.   0.02 0.98],0,0,0,0.02,0.98,0.46932584,0.516359448,-0.721539319
74,2.437,4,0.98,[0.   0.   0.   0.02 0.98],0,0,0,0.02,0.98,0.46926713,0.516633749,-0.740030825
75,2.47,4,0.98,[0.   0.   0.   0.02 0.98],0,0,0,0.02,0.98,0.469231784,0.516676307,-0.777518213
76,2.502,4,0.98,[0.   0.   0.   0.02 0.98],0,0,0,0.02,0.98,0.46943292,0.51656878,-0.770568013
